#EXPORTTYPE:                 	DATA ALL                                                                                                                             
#FILE:                       	20260224_Mg_SiO2_stoich_loose_Ar_10Kmin.ngb-ss5                                                                                      
#FORMAT:                     	NETZSCH5                                                                                                                             
#FTYPE:                      	ASCII                                                                                                                                
#IDENTITY:                   	LOOSE_MgSiO2                                                                                                                         
#DECIMAL:                    	POINT                                                                                                                                
#SEPARATOR:                  	TAB                                                                                                                                  
#MTYPE:                      	DTA                                                                                                                                  
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                    
#PROJECT:                    	THREAD                                                                                                                               
#DATE/TIME:                  	24/02/2026 14:51:00 (UTC+1)                                                                                                          
#CORR. FILE:                 	                                                                                                                                     
#TEMPCAL:                    	20260211_DTATG_CAL_AR_10KMIN_quadratic_T.ngb-ts5                                                                                     
#SENSITIVITY:                	20260211_10Kmin_DTATG_Ar_sens.ngb-es5                                                                                                
#LABORATORY:                 	Politecnico Milano                                                                                                                   
#OPERATOR:                   	Zanardi                                                                                                                              
#REMARK:                     	Mg + SiO2 stoichiometric, loose powder  heating program: 10 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01603
#SAMPLE:                     	LOOSE_MgSiO2                                                                                                                         
#SAMPLE MASS /mg:            	15.8825                                                                                                                              
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                     
#REFERENCE:                  	-                                                                                                                                    
#REFERENCE MASS /mg:         	0                                                                                                                                    
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                    
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                    
#TG RANGE /mg:               	35000                                                                                                                                
#TAU-R:                      	---                                                                                                                                  
#CORR. CODE:                 	000                                                                                                                                  
#EXO:                        	+1                                                                                                                                   
#RANGE:                      	25›C....950›C/0,0....30,0K/min                                                                                                       
#SEGMENT:                    	S1-3/3                                                                                                                               
#SEG. 1:                     	25›C/10,0(K/min)/850›C                                                                                                               
#SEG. 2:                     	850›C/00:05/850›C                                                                                                                    
#SEG. 3:                     	850›C/30,0(K/min)/950›C                                                                                                              

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)	Segment
 21.63800	 1.02000	 0.94260	100.18637	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.03000	 0.94073	100.19204	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.04000	 0.94213	100.19707	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.05000	 0.94073	100.20211	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.06000	 0.94213	100.20526	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.07000	 0.94229	100.20904	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.08000	 0.94384	100.21848	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.09000	 0.94992	100.22603	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.10000	 0.94945	100.22729	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63800	 1.11000	 0.95070	100.23170	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.12000	 0.94883	100.24052	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.13000	 0.94961	100.24303	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.14000	 0.95038	100.24618	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.15000	 0.95505	100.25500	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.16000	 0.95163	100.26381	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.17000	 0.95194	100.26507	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.18000	 0.95428	100.26570	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.19000	 0.95116	100.26885	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.20000	 0.95568	100.27263	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.21000	 0.94867	100.27703	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.22000	 0.95552	100.28207	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.23000	 0.95614	100.28837	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.24000	 0.95614	100.29215	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.25000	 0.95614	100.29592	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.26000	 0.95614	100.29970	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.27000	 0.95614	100.30159	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63700	 1.28000	 0.95614	100.30726	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.29000	 0.95614	100.31229	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.30000	 0.95614	100.31733	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.31000	 0.95614	100.32426	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.32000	 0.95614	100.33181	0.000000e+000	     50.00000	20.00000	0.30852	1
 22.03400	 1.33000	 0.95618	100.33433	0.000000e+000	     50.00000	20.00000	0.30851	1
 21.63600	 1.34000	 0.95614	100.33559	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.35000	 0.95614	100.34252	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.36000	 0.95614	100.34881	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.37000	 0.95614	100.35952	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.63600	 1.38000	 0.95614	100.36581	0.000000e+000	     50.00000	20.00000	0.30852	1
 22.03300	 1.39000	 0.95618	100.36770	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.40000	 0.95618	100.37274	0.000000e+000	     50.00000	20.00000	0.30851	1
 21.63600	 1.41000	 0.95614	100.37777	0.000000e+000	     50.00000	20.00000	0.30852	1
 22.03300	 1.42000	 0.95618	100.38155	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.43000	 0.95618	100.38722	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.44000	 0.95618	100.39163	0.000000e+000	     50.00000	20.00000	0.30851	1
 21.63600	 1.45000	 0.95614	100.39729	0.000000e+000	     50.00000	20.00000	0.30852	1
 22.03300	 1.46000	 0.95618	100.40674	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.47000	 0.95618	100.41555	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.48000	 0.96147	100.41618	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.49000	 0.95665	100.41933	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.50000	 0.95634	100.42437	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03300	 1.51000	 0.95618	100.42877	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.52000	 0.95618	100.43381	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.53000	 0.95727	100.44137	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.54000	 0.95867	100.44640	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.55000	 0.96054	100.45270	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.56000	 0.95836	100.46025	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.57000	 0.95711	100.46907	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.58000	 0.95805	100.47285	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.59000	 0.96054	100.47788	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.60000	 0.96241	100.48418	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.61000	 0.97097	100.48922	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.62000	 0.96397	100.49363	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.63000	 0.96428	100.50433	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.64000	 0.97050	100.51062	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.65000	 0.97097	100.51251	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.66000	 0.96879	100.52385	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.67000	 0.96630	100.52825	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.68000	 0.97128	100.54022	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.69000	 0.97175	100.54840	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.70000	 0.97175	100.55596	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03200	 1.71000	 0.97175	100.56792	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.72000	 0.97175	100.57359	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.73000	 0.97175	100.58177	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.74000	 0.97175	100.59625	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.75000	 0.97175	100.59877	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.76000	 0.97175	100.60948	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.77000	 0.97175	100.61577	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.78000	 0.97175	100.62585	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.03100	 1.79000	 0.97175	100.63466	0.000000e+000	     50.00000	20.00000	0.30851	1
 22.42800	 1.80000	 0.97179	100.64411	0.000000e+000	     50.00000	20.00000	0.30850	1
 22.42800	 1.81000	 0.97179	100.65544	0.000000e+000	     50.00000	20.00000	0.30850	1
 22.42800	 1.82000	 0.97179	100.66173	0.000000e+000	     50.00000	20.00000	0.30850	1
 22.42800	 1.83000	 0.97179	100.66488	0.000000e+000	     50.00000	20.00000	0.30850	1
 22.42700	 1.84000	 0.97179	100.68062	0.000000e+000	     50.00000	20.00000	0.30850	1
 22.42700	 1.85000	 0.97179	100.68692	0.000000e+000	     50.00000	20.00000	0.30850	1
 22.42700	 1.86000	 0.97179	100.69007	0.000000e+000	     50.00000	20.00000	0.30850	1
 22.42700	 1.87000	 0.97179	100.69951	0.000000e+000	     50.00000	20.00000	0.30850	1
